run	hr	min	sec	AoA	AoS	dPb	pBar	temp	B1	B2	B3	B4	B5	B6	rpmWT	rho	q	V	Re	rpsM1	rpsM2	iM1	iM2	dPtQ	tM1	tM2	vM1	vM2	pInf	nu	J_M1	J_M2	FX	FY	FZ	MX	MY	MZ	CFX	CFY	CFZ	CMX	CMY	CMZ	CN	CT	CY	CL	CD	CYaw	CMroll	CMpitch	CMpitch25c	CMyaw
12	14	8	7	6.995	0	420	101290	286.43	2215.1	-213.2	1664.1	1787.7	377.7	121.6	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	0.36	0.33	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	20.3828380696984	-1.83347275103239	220.910767774223	0.0210860254689268	-18.0343517987726	-0.796578034600929	0.0953451982314874	-0.00857647116174143	1.03335859672141	7.06252621682517e-05	-0.511333644351516	-0.00266804821108019	1.0372784826568	-0.0312097045974019	0.00857647116174143	1.03335859672141	0.0953451982314874	0.00857647116174143	-0.00200428956754422	-0.538206971487114	-0.538206971487114	-0.00289227719832669
13	14	8	29	6.995	0	420	101290	286.43	2214.6	-211.8	1664.5	1787.2	376.5	120.7	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	2.83	2.51	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	20.3782411065109	-1.82223790844083	220.875051979465	0.0183831699006	-18.0450441619338	-0.790702893971995	0.0953236949273414	-0.00852391771995236	1.03319152825335	6.15723525339872e-05	-0.511636808284602	-0.00264837009071534	1.03711003898458	-0.0312107017941598	0.00852391771995236	1.03319152825335	0.0953236949273414	0.00852391771995236	-0.00200096945749135	-0.538504074650097	-0.538504074650097	-0.00287234121442648
14	14	8	50	6.995	0	420	101290	286.43	2215.3	-212.7	1662.7	1786.1	377	121	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	4.73	4.5	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	20.3847002121964	-1.83288565699547	220.709365550279	0.018439825176817	-18.0453411937556	-0.792676340968257	0.0953539088116821	-0.00857372490054172	1.03241649361975	6.17621129865644e-05	-0.511645230121196	-0.00265497992867136	1.0363444526312	-0.0310863269671575	0.00857372490054172	1.03241649361975	0.0953539088116821	0.00857372490054172	-0.00201390995694201	-0.538521012359677	-0.538521012359677	-0.00288047778323524
15	14	9	12	6.995	0	420	101290	286.43	2214.4	-209.9	1664.1	1785	377.5	120.1	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	7.77	7.62	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	20.3764060903615	-1.79932802158364	220.739955352138	0.0133108451086089	-18.0301766154363	-0.786757125295455	0.0953151112365948	-0.00841675169643837	1.0325595841311	4.45831731950547e-05	-0.511215264066212	-0.00263515418392216	1.03648175321432	-0.031142261716146	0.00841675169643837	1.0325595841311	0.0953151112365948	0.00841675169643837	-0.00198946141285096	-0.538080111092991	-0.538080111092991	-0.00285782219543767
16	14	9	33	6.995	0	420	101290	286.43	2214.7	-210	1664.8	1785.2	377.2	120.9	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	7.43	7.73	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	20.3791565586293	-1.79107455274013	220.787787066971	0.0139253338581718	-18.0369678168521	-0.791939795371551	0.0953279771555275	-0.00837814428463971	1.03278332747424	4.66413338997011e-05	-0.511407817134281	-0.00265251295233469	1.0367053980339	-0.0311567396355052	0.00837814428463971	1.03278332747424	0.0953279771555275	0.00837814428463971	-0.00197450395392695	-0.538276290458502	-0.538276290458502	-0.0028732301986335
17	14	10	22	-3.995	0	420	101290	286.43	-42.5	-190.5	-175.1	-130.8	-469.6	97.8	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	109.36	109.36	4.57	4.49	0	0	0	0	0	101290	1.4456734455218e-05	1.79895723288979	1.79895723288979	-0.400882605081458	-1.81502794959705	-30.3158727113104	-1.19374356344827	-5.88772622689906	-0.661150825463281	-0.00187521636184064	-0.00849019155518326	-0.14180914764355	-0.00399830931886321	-0.166936552094387	-0.00221445006077178	-0.141333925162103	-0.011750420846369	0.00849019155518326	-0.14180914764355	-0.00187521636184064	0.00849019155518326	-0.00653004446933574	-0.166408016796579	-0.166408016796579	-0.0017541248354616
18	14	11	17	-0.505	0	420	101290	286.43	264.8	-173.4	554.3	611.6	-597.4	88.1	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	103.61	103.61	2.14	2.09	0	0	0	0	0	101290	1.4456734455218e-05	1.89879319552965	1.89879319552965	2.43300244497927	-1.64842907535441	56.8296845403585	-0.778878631821631	-10.2742181481868	-0.589528333877701	0.011380902876283	-0.00771088875959162	0.265833321120701	-0.00260876605933701	-0.291308136116784	-0.00197455860978074	0.265722686563238	0.0137234621708995	0.00771088875959162	0.265833321120701	0.011380902876283	0.00771088875959162	-0.00479932055868326	-0.294515877374506	-0.294515877374506	-0.00193218166858362
19	14	12	4	-3.995	0	420	101290	286.43	1000.4	-72.2	-333.6	-326.6	397.4	25.2	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	89.48	89.48	7.64	7.76	0	0	0	0	0	101290	1.4456734455218e-05	2.19863615320549	2.19863615320549	9.19359826775637	-0.818685190349725	-30.7349823864925	-0.776281440356422	-4.74528782772682	-0.189734821220439	0.0430050734987201	-0.00382957964421647	-0.143769625125848	-0.00260006705968903	-0.134544637119344	-0.000635495366866874	-0.146416422692292	0.0328842305892832	0.00382957964421647	-0.143769625125848	0.0430050734987201	0.00382957964421647	-0.00371477948324761	-0.146665744737324	-0.146665744737324	-0.00037514466768124
20	14	12	40	-0.505	0	420	101290	286.43	1321.4	-120.4	354.6	417.6	305.9	52	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	4.38	4.37	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	12.153748174306	-1.24356488978965	54.8874349601819	-0.290441931509963	-8.79814729830661	-0.356527687566401	0.0568518243128019	-0.00581704768125386	0.256748022468779	-0.000972802465204866	-0.249456635413464	-0.00119414924551446	0.25623696926109	0.0591125414206971	0.00581704768125386	0.256748022468779	0.0568518243128019	0.00581704768125386	-0.00262277814211533	-0.265480490849834	-0.265480490849834	-0.00117098622370869
21	14	13	20	-0.995	0	420	101290	286.43	767.6	-155.4	356.4	417.2	-124.3	73.2	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	93.74	93.74	2.19	2.12	0	0	0	0	0	101290	1.4456734455218e-05	2.09871946862415	2.09871946862415	7.05617898239799	-1.5539034799887	44.4324401312455	-0.635117389584768	-9.01141874594084	-0.494379693133641	0.033006825719415	-0.0072687245429465	0.207842489732588	-0.00212725400588843	-0.255503587794772	-0.00165586897775859	0.207237981484307	0.0366110654396029	0.0072687245429465	0.207842489732588	0.033006825719415	0.0072687245429465	-0.00420409033696982	-0.264806659598261	-0.264806659598261	-0.00158261462372761
22	14	15	12	-4	0	420	101290	286.43	-884.3	-304.8	-53.2	37	-1162	164.7	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	123.03	123.03	2.18	2.11	0	0	0	0	0	101290	1.4456734455218e-05	1.59907309590204	1.59907309590204	-8.14528336643401	-2.81694942486173	-29.5658659682708	-1.48374381982093	-6.7136145178895	-1.09589862735209	-0.0381013504875369	-0.0131768991346106	-0.138300826508606	-0.00496963244305092	-0.1903532223674	-0.00367058874991048	-0.135306116791306	-0.0476559154858548	0.0131768991346106	-0.138300826508606	-0.0381013504875368	0.0131768991346106	-0.00891847513916274	-0.179614243635889	-0.179614243635889	-0.00303952600331621
23	14	15	32	-4	0	420	101290	286.43	-884.7	-305.1	-53	36.8	-1161.8	165.5	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	123.03	123.03	4.43	4.34	0	0	0	0	0	101290	1.4456734455218e-05	1.59907309590204	1.59907309590204	-8.1489687442232	-2.81188286512765	-29.5609682880032	-1.48489378347092	-6.70716687564013	-1.10108795143683	-0.0381185896509285	-0.0131531991895614	-0.138277916534323	-0.00497348411649143	-0.190170410340351	-0.00368796980517388	-0.135282060081321	-0.0476715145364913	0.0131531991895614	-0.138277916534323	-0.0381185896509285	0.0131531991895614	-0.00891686624328492	-0.179426572699467	-0.179426572699467	-0.00305697695010561
