run	hr	min	sec	AoA	AoS	dPb	pBar	temp	B1	B2	B3	B4	B5	B6	rpmWT	rho	q	V	Re	rpsM1	rpsM2	iM1	iM2	dPtQ	tM1	tM2	vM1	vM2	pInf	nu	J_M1	J_M2	FX	FY	FZ	MX	MY	MZ	CFX	CFY	CFZ	CMX	CMY	CMZ	CN	CT	CY	CL	CD	CYaw	CMroll	CMpitch	CMpitch25c	CMyaw	delta_e	T_0	thrust	F_meas	Drag_Force	CD_thrust_cor	TC_thrust_cor	CT_thrust_cor	epsilon_sb	epsilon_wb	epsilon_ss	epsilon_total	V_cor	q_cor	CL_cor1	CD_cor1	CMpitch_cor1	delta_alpha_total	delta_CL	delta_CDw	delta_CMpitch_total	AoA_cor	CL_cor2	CD_cor2	CMpitch_cor2
11	14	7	23	-1.0	0	420	101290	286.43	-909.6	-262.6	653.7	733.1	-1546.8	133.2	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	123.03	123.03	0.54	0.5	0	0	0	0	0	101290	1.4456734455218e-05	1.59907309590204	1.59907309590204	-8.37396026915223	-2.53109242537069	47.0757257609248	-1.31615100685147	-11.2080684912761	-0.882304415391811	-0.039171036884793	-0.0118397402861159	0.220207038353463	-0.0044082992334839	-0.317785888383062	-0.0029551790469512	0.220857128611209	-0.0353219282124511	0.0109397402861159	0.203307038353463	-0.039171036884793	0.0118397402861159	-0.006995760506329	-0.300845415365324	-0.306745415365324	-0.006018674178024401	10	17.083180007227295	17.332658834847127	-8.375128864086822	8.957529970760305	0.034094965746243266	0.21321667991589632	0.5452024632440821	0.008426426629348418	0.0012163238389256573	-0.001719728136633323	0.007923022331640751	40.29307472402322	1000.0491377473959	0.20012331280317378	0.03356104909258649	-0.29613426889768063	0.0023500027710253715	0	0.0003886782720463575	-0.0008427476138288866	-0.9976499972289746	0.20012331280317378	0.033949727364632844	-0.29697701651150954
12	14	8	7	6.995	0	420	101290	286.43	2215.1	-213.2	1664.1	1787.7	377.7	121.6	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	0.36	0.33	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	20.3828380696984	-1.83347275103239	220.910767774223	0.0210860254689268	-18.0343517987726	-0.796578034600929	0.0953451982314874	-0.0085764711617414	1.03335859672141	7.06252621682517e-05	-0.511333644351516	-0.0026680482110801	1.0372784826568	-0.0312097045974019	0.012275471161741401	1.02726609672141	0.0953451982314874	0.0085764711617414	-0.0025012895675442	-0.5359984714871141	-0.538206971487114	-0.0061917771983266	10	-4.622376350476637	-5.032693102276257	20.38568251611984	15.352989413843583	0.0656009565711782	-0.06190937723562712	-0.3561849673542953	0.008426426629348418	0.0005725910334416478	0.0006758108945383868	0.009674828557328452	40.36310552755657	1003.528400929924	1.0076736367883512	0.06434978696936498	-0.5257756785707428	0.010578922766306731	0	0.00787655677024888	-0.0037937665555581716	7.005578922766307	1.0076736367883512	0.07222634373961387	-0.529569445126301
13	14	8	29	6.995	0	420	101290	286.43	2214.6	-211.8	1664.5	1787.2	376.5	120.7	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	2.83	2.51	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	20.3782411065109	-1.82223790844083	220.875051979465	0.0183831699006	-18.0450441619338	-0.790702893971995	0.0953236949273414	-0.0085239177199523	1.03319152825335	6.15723525339872e-05	-0.511636808284602	-0.0026483700907153	1.03711003898458	-0.0312107017941598	0.012222917719952299	1.0270990282533499	0.0953236949273414	0.0085239177199523	-0.0024979694574913	-0.536295574650097	-0.538504074650097	-0.006171841214426399	10	-4.617778745778141	-5.027665234090915	20.381084911421343	15.353419677330429	0.06560296894223384	-0.06184752721182246	-0.35582912386671056	0.008426426629348418	0.0005744792166690923	0.0006750726230202406	0.00967597846903775	40.3631514968195	1003.5306867543959	1.0075074598339027	0.06435161438031169	-0.5260659169882922	0.010578922766306731	0	0.00787655677024888	-0.0037937665555581716	7.005578922766307	1.0075074598339027	0.07222817115056057	-0.5298596835438504
14	14	8	50	6.995	0	420	101290	286.43	2215.3	-212.7	1662.7	1786.1	377.0	121.0	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	4.73	4.5	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	20.3847002121964	-1.83288565699547	220.709365550279	0.018439825176817	-18.0453411937556	-0.792676340968257	0.0953539088116821	-0.0085737249005417	1.03241649361975	6.17621129865644e-05	-0.511645230121196	-0.0026549799286713	1.0363444526312	-0.0310863269671575	0.012272724900541699	1.02632399361975	0.0953539088116821	0.0085737249005417	-0.002510909956942	-0.536312512359677	-0.538521012359677	-0.0061799777832352	10	-4.624238752838517	-5.034729809995306	20.38754491848172	15.352815108486414	0.06560014133338476	-0.06193443167545384	-0.3563291137700765	0.008426426629348418	0.0005816325485063852	0.0006761099973022274	0.00968416917515703	40.36347893128264	1003.5469685288501	1.0067308750293158	0.06434779669691079	-0.5260739963340154	0.010578922766306731	0	0.00787655677024888	-0.0037937665555581716	7.005578922766307	1.0067308750293158	0.07222435346715968	-0.5298677628895736
15	14	9	12	6.995	0	420	101290	286.43	2214.4	-209.9	1664.1	1785.0	377.5	120.1	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	7.77	7.62	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	20.3764060903615	-1.79932802158364	220.739955352138	0.0133108451086089	-18.0301766154363	-0.786757125295455	0.0953151112365948	-0.0084167516964383	1.0325595841311	4.45831731950547e-05	-0.511215264066212	-0.0026351541839221	1.03648175321432	-0.031142261716146	0.0121157516964383	1.0264670841310999	0.0953151112365948	0.0084167516964383	-0.0024864614128509	-0.5358716110929911	-0.538080111092991	-0.0061573221954376	10	-4.615943473550251	-5.025658222775876	20.379249639193453	15.353591416417578	0.06560377217741106	-0.061822838080557385	-0.3556870791909874	0.008426426629348418	0.0005807218943571566	0.0006747779619087385	0.009681926485614313	40.3633892767601	1003.5425104183613	1.0068757067579719	0.06435164409878266	-0.5256438472233335	0.010578922766306731	0	0.00787655677024888	-0.0037937665555581716	7.005578922766307	1.0068757067579719	0.07222820086903155	-0.5294376137788916
16	14	9	33	6.995	0	420	101290	286.43	2214.7	-210.0	1664.8	1785.2	377.2	120.9	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	7.43	7.73	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	20.3791565586293	-1.79107455274013	220.787787066971	0.0139253338581718	-18.0369678168521	-0.791939795371551	0.0953279771555275	-0.0083781442846397	1.03278332747424	4.66413338997011e-05	-0.511407817134281	-0.0026525129523346	1.0367053980339	-0.0311567396355052	0.012077144284639699	1.02669082747424	0.0953279771555275	0.0083781442846397	-0.0024715039539269	-0.5360677904585021	-0.538276290458502	-0.0061727301986335	10	-4.618694325648784	-5.028666493973808	20.38200049129199	15.353333997318181	0.06560256821109592	-0.06185984415119094	-0.35589998726160743	0.008426426629348418	0.0005783909125579263	0.0006752196324331816	0.009680037174339526	40.363313749007794	1003.5387547754088	1.007098948638786	0.06435070393677654	-0.5258382501556147	0.010578922766306731	0	0.00787655677024888	-0.0037937665555581716	7.005578922766307	1.007098948638786	0.07222726070702543	-0.5296320167111729
17	14	10	22	-3.995	0	420	101290	286.43	-42.5	-190.5	-175.1	-130.8	-469.6	97.8	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	109.36	109.36	4.57	4.49	0	0	0	0	0	101290	1.4456734455218e-05	1.79895723288979	1.79895723288979	-0.400882605081458	-1.81502794959705	-30.3158727113104	-1.19374356344827	-5.88772622689906	-0.661150825463281	-0.0018752163618406	-0.0084901915551832	-0.14180914764355	-0.0039983093188632	-0.166936552094387	-0.0022144500607717	-0.141333925162103	-0.011750420846369	0.0021986915551832006	-0.16140464764354998	-0.0018752163618406	0.0084901915551832	-0.0049320444693357005	-0.16560001679657899	-0.166408016796579	-0.0043551248354616	10	9.979273447729478	10.073113433666329	-0.4009385486692633	9.672174884997066	0.03843590772527186	0.12391381052424044	0.4010157131518455	0.008426426629348418	0.0018605328736448785	-0.0010823851810622493	0.009204574321931048	40.34430648375427	1002.5938355211268	-0.15847385237056252	0.03773798620740465	-0.16259304175887193	-0.0013031492260756111	0	0.00011952033877043948	0.0004673296194706167	-3.9963031492260757	-0.15847385237056252	0.03785750654617509	-0.1621257121394013
18	14	11	17	-0.505	0	420	101290	286.43	264.8	-173.4	554.3	611.6	-597.4	88.1	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	103.61	103.61	2.14	2.09	0	0	0	0	0	101290	1.4456734455218e-05	1.89879319552965	1.89879319552965	2.43300244497927	-1.64842907535441	56.8296845403585	-0.778878631821631	-10.2742181481868	-0.589528333877701	0.011380902876283	-0.0077108887595916	0.265833321120701	-0.002608766059337	-0.291308136116784	-0.0019745586097807	0.265722686563238	0.0137234621708995	0.0072563887595916	0.24927982112070102	0.011380902876283	0.0077108887595916	-0.0040983205586831994	-0.288318877374506	-0.294515877374506	-0.0051321816685836	10	6.315265760553808	6.42838511348933	2.4333419730211507	8.86172708651048	0.03354788926007583	0.07907840015654796	0.28511049749919926	0.008426426629348418	0.0010458515524232027	-0.0007228264162302365	0.008749451765541384	40.326112349116116	1001.689756821529	0.24497428622490147	0.03296845363933324	-0.2833390639982255	0.0029429090117814344	0	0.0006095469806123368	-0.0010553730310335682	-0.5020570909882186	0.24497428622490147	0.03357800061994558	-0.2843944370292591
19	14	12	4	-3.995	0	420	101290	286.43	1000.4	-72.2	-333.6	-326.6	397.4	25.2	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	89.48	89.48	7.64	7.76	0	0	0	0	0	101290	1.4456734455218e-05	2.19863615320549	2.19863615320549	9.19359826775637	-0.818685190349725	-30.7349823864925	-0.776281440356422	-4.74528782772682	-0.189734821220439	0.0430050734987201	-0.0038295796442164	-0.143769625125848	-0.002600067059689	-0.134544637119344	-0.0006354953668668	-0.146416422692292	0.0328842305892832	-0.0024619203557836003	-0.163365125125848	0.0430050734987201	0.0038295796442164	-0.0021167794832476	-0.145857744737324	-0.146665744737324	-0.0029761446676812	10	0.38345365502726736	0.38771743774608636	9.194881244032947	9.582598681779034	0.038016953842030826	0.004769483182552233	0.02305568616002393	0.008426426629348418	0.0018023226959141942	-4.7496835305391615e-05	0.01018125248995722	40.38335050351935	1004.5353355130304	-0.16008872324040976	0.037254497233555214	-0.1429324656148981	-0.0013031492260756111	0	0.00011952033877043948	0.0004673296194706167	-3.9963031492260757	-0.16008872324040976	0.037374017572325655	-0.14246513599542748
20	14	12	40	-0.505	0	420	101290	286.43	1321.4	-120.4	354.6	417.6	305.9	52.0	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	4.38	4.37	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	12.153748174306	-1.24356488978965	54.8874349601819	-0.290441931509963	-8.79814729830661	-0.356527687566401	0.0568518243128019	-0.0058170476812538	0.256748022468779	-0.0009728024652048	-0.249456635413464	-0.0011941492455144	0.25623696926109	0.0591125414206971	0.0053625476812537995	0.24019452246877898	0.0568518243128019	0.0058170476812538	-0.0019217781421153	-0.259283490849834	-0.265480490849834	-0.004370986223708601	10	-3.4068365090304216	-3.473824385896057	12.155444242605382	8.681619856709325	0.032705515720963946	-0.042733045704592694	-0.24585723793197478	0.008426426629348418	0.0009558940066876036	0.0004535191640215727	0.009835839800057596	40.36954216794572	1003.848488613164	0.23553830160868972	0.03207151248485882	-0.2542572263606898	0.0029429090117814344	0	0.0006095469806123368	-0.0010553730310335682	-0.5020570909882186	0.23553830160868972	0.03268105946547116	-0.2553125993917234
