run	hr	min	sec	AoA	AoS	dPb	pBar	temp	B1	B2	B3	B4	B5	B6	rpmWT	rho	q	V	Re	rpsM1	rpsM2	iM1	iM2	dPtQ	tM1	tM2	vM1	vM2	pInf	nu	J_M1	J_M2	FX	FY	FZ	MX	MY	MZ	CFX	CFY	CFZ	CMX	CMY	CMZ	CN	CT	CY	CL	CD	CYaw	CMroll	CMpitch	CMpitch25c	CMyaw
11	13	1	29	5	0	231.85	101150	292.69	823.8	-76.1	568.7	613.3	612.9	10.2	357.598	1.20392782315227	541.618310273092	29.9958685114505	328961.418939774	0	0	0	0	0	0	0	0	0	101150	1.50434281077649e-05	Inf	Inf	7.57937226901592	-1.12080979211023	87.5920619924821	-0.451270682254485	-0.882115488517941	-0.069453070761172	0.0644377965924291	-0.00952882519018674	0.744684292240976	-0.00274710802260228	-0.0454571863512768	-0.000422795221105865	0.7474666677057	-0.000710921280684187	0.00952882519018674	0.744684292240976	0.0644377965924291	0.00952882519018674	-0.00537531307542579	-0.0636191705921734	-0.0636191705921734	-0.000889675761234124
12	13	2	24	6	0	231.88	101150	292.69	881.6	-73.9	631.2	672.6	690.5	11.9	358.077	1.20392782315227	541.688647636526	29.9978161577644	328982.778564509	0	0	0	0	0	0	0	0	0	101150	1.50434281077649e-05	Inf	Inf	8.1129218886406	-1.03768243281096	97.0270576762776	-0.418197503959853	-0.581572880287294	-0.080489394504912	0.0689649366629677	-0.0088209530718252	0.824790991345268	-0.00254544465039912	-0.0299657294121247	-0.000489915163807531	0.827481498844104	-0.0176269953183177	0.0088209530718252	0.824790991345268	0.0689649366629677	0.0088209530718252	-0.00495288243726466	-0.0494037015198552	-0.0494037015198552	-0.00100494854719215
13	13	3	18	7	0	231.81	101148	292.69	950.8	-60.8	690.4	717.8	779.3	14.6	358.877	1.20390401835103	541.524527251414	29.9935679836525	328929.685373677	0	0	0	0	0	0	0	0	0	101148	1.50437255615575e-05	Inf	Inf	8.74584277859362	-0.791294700528521	105.619730861428	-0.372491032379721	-0.253590400452541	-0.101626474212339	0.0743676940094824	-0.00672854105087091	0.89810622314087	-0.00226792999742356	-0.013070286841403	-0.000618757793781196	0.900475017583083	-0.0356382472267036	0.00672854105087091	0.89810622314087	0.0743676940094824	0.00672854105087091	-0.00405794093286072	-0.0340310421443043	-0.0340310421443043	-0.00110868426408021
14	13	4	24	8	0	231.84	101145	292.69	1038.4	-54.4	732.4	751.8	882.4	18.7	359.651	1.20386831114915	541.59486450379	29.9959606508081	328946.168303454	0	0	0	0	0	0	0	0	0	101145	1.50441717643029e-05	Inf	Inf	9.55098165607184	-0.645981744711961	112.796460758626	-0.369187698407367	0.065589796102774	-0.124300633932473	0.0812034076295474	-0.00549220183076614	0.959006865679611	-0.00224752556041414	0.00338012051032825	-0.000756712244595576	0.960975206834784	-0.0530548176900781	0.00549220183076614	0.959006865679612	0.0812034076295474	0.00549220183076614	-0.00365326722985389	-0.0195073009669017	-0.0195073009669017	-0.00125778450206331
15	13	5	56	9	0	231.94	101147	292.69	1163.6	-64.4	737.7	764	1015.3	27.3	360.31	1.2038921159504	541.829322613275	30.0021559971065	329020.614423016	0	0	0	0	0	0	0	0	0	101147	1.5043874292865e-05	Inf	Inf	10.6986876687381	-0.696637832440374	117.132030782247	-0.305472862589664	0.409357057310684	-0.181890624049116	0.0909219592995537	-0.00592032206274731	0.995437390566769	-0.00185884032734474	0.0210867776558872	-0.0011068270493231	0.997405232518681	-0.065918156570121	0.00592032206274731	0.995437390566769	0.0909219592995537	0.00592032206274731	-0.0033109253898754	-0.0045398464572028	-0.0045398464572028	-0.00161114301382502
16	13	7	3	10	0	231.86	101146	292.69	1347.7	-46	718.2	728.7	1186.2	15.2	360.638	1.20388021354978	541.641756051648	29.9971108678692	328962.034333419	0	0	0	0	0	0	0	0	0	101146	1.50440230271134e-05	Inf	Inf	12.3950575684299	-0.549289654224639	118.016897740593	-0.421755837026255	0.645050025799769	-0.102059667090912	0.105374903966377	-0.00466971163660178	1.00330467988299	-0.00256732541444689	0.0332392870962372	-0.000621260819909351	1.00636038742779	-0.0704480069073788	0.00466971163660178	1.00330467988299	0.105374903966377	0.00466971163660178	-0.00371661763793702	0.00353905762799077	0.00353905762799077	-0.00125720635200198
17	13	8	18	11	0	231.98	101143	292.69	1511.3	-43.1	724.8	731.4	1338.1	16.5	360.881	1.2038445063479	541.923106116206	30.0053456809391	329042.581335217	0	0	0	0	0	0	0	0	0	101143	1.50444692475052e-05	Inf	Inf	13.8960464424876	-0.488139857203507	122.32442765995	-0.423595061704598	0.838647520404809	-0.110740923841269	0.118074025386375	-0.00414770043624224	1.03938466503204	-0.00257718251071874	0.043192887667953	-0.000673755664185675	1.04281782741814	-0.0824192707661953	0.00414770043624224	1.03938466503204	0.118074025386375	0.00414770043624224	-0.00354883685910659	0.00991337313255813	0.00991337313255813	-0.00133852687080788
18	13	8	59	12	0	231.92	101146	292.7	1694	-52.7	734.2	746.8	1501.6	26.8	361.047	1.20383908337507	541.782430917339	30.001518531043	328990.431682462	0	0	0	0	0	0	0	0	0	101146	1.50449347991967e-05	Inf	Inf	15.5781714163076	-0.52194847271595	127.850867081896	-0.357233274728924	0.965952723345278	-0.175539813938878	0.13240132824558	-0.00443612213632475	1.08662462150544	-0.00217399701190246	0.0497624088256994	-0.0010682740325985	1.09040705044588	-0.0964139207840205	0.00443612213632475	1.08662462150544	0.13240132824558	0.00443612213632475	-0.00312739469074926	0.0124447014515691	0.0124447014515691	-0.00169515159992061
19	13	9	45	13	0	231.95	101144	292.71	1870.2	-64.1	741.6	760.9	1665.3	38.2	361.318	1.20377415283594	541.852768475126	30.0042751291307	328994.215536941	0	0	0	0	0	0	0	0	0	101144	1.50461441052733e-05	Inf	Inf	17.196828948102	-0.561934235088453	133.156316263493	-0.303883137909808	1.15985260474138	-0.251393840627477	0.146139580364814	-0.00477534745250304	1.13156956089972	-0.00184908664205189	0.0597436767719146	-0.00152969656623842	1.13544175904729	-0.112153733400065	0.00477534745250304	1.13156956089972	0.146139580364814	0.00477534745250304	-0.00276903716495938	0.0185538022585947	0.0185538022585947	-0.00211338837212244
20	13	10	33	14	0	231.74	101147	292.71	2189.2	-144.7	674.7	759.2	1919.6	89	361.955	1.20380985759804	541.360407319791	29.9901953934447	328849.586097592	0	0	0	0	0	0	0	0	0	101147	1.50456978396173e-05	Inf	Inf	20.1296878898069	-1.22116987066198	135.189707365506	0.0559120479871245	1.12716692420404	-0.582272965671887	0.171218753930456	-0.0103870057368369	1.14989429374441	0.000340526461490837	0.0581128516469299	-0.00354627240031851	1.15715908440243	-0.112051782084866	0.0103870057368369	1.14989429374441	0.171218753930456	0.0103870057368369	-0.00165231360587455	0.00985433762138605	0.00985433762138605	-0.00384066379389786
